Category,Size,Min,Max,Mean
Blouse,Free,339.0,429.0,394.27
Blouse,L,259.0,869.0,502.94
Blouse,M,249.0,879.0,601.5
Blouse,S,259.0,879.0,539.15
Blouse,XL,301.0,879.0,636.28
Blouse,XS,249.0,518.0,446.29
Blouse,XXL,249.0,869.0,578.19
Bottom,3XL,329.0,518.0,382.27
Bottom,L,273.0,518.0,344.17
Bottom,M,249.0,518.0,398.0
Bottom,S,229.0,377.0,292.42
Bottom,XL,273.0,518.0,331.42
Bottom,XS,284.0,360.0,311.1
Bottom,XXL,301.0,518.0,372.83
Ethnic Dress,3XL,362.0,1377.0,691.91
Ethnic Dress,L,362.0,1249.0,674.79
Ethnic Dress,M,373.0,1377.0,814.25
Ethnic Dress,S,373.0,1377.0,727.52
Ethnic Dress,XL,373.0,1449.0,803.19
Ethnic Dress,XS,362.0,1125.0,592.48
Ethnic Dress,XXL,362.0,1449.0,703.5
Saree,Free,620.0,1198.0,805.71
Set,3XL,383.0,1698.0,847.05
Set,4XL,898.0,1399.0,1255.93
Set,5XL,898.0,1531.0,1222.89
Set,6XL,898.0,1629.0,1302.0
Set,L,416.0,1648.0,838.6
Set,M,357.0,1695.0,859.62
Set,S,357.0,1698.0,864.87
Set,XL,383.0,2598.0,856.72
Set,XS,357.0,1695.0,865.11
Set,XXL,399.0,1698.0,843.35
Top,3XL,279.0,925.0,545.44
Top,L,249.0,925.0,546.62
Top,M,298.0,956.0,548.38
Top,S,299.0,1099.0,533.31
Top,XL,279.0,956.0,525.87
Top,XS,259.0,908.0,508.91
Top,XXL,259.0,987.0,518.52
Western Dress,3XL,377.0,1399.0,805.84
Western Dress,L,377.0,1294.0,806.34
Western Dress,M,413.0,1377.0,818.91
Western Dress,S,377.0,1229.0,794.42
Western Dress,XL,413.0,1377.0,829.56
Western Dress,XS,366.0,1187.0,757.95
Western Dress,XXL,377.0,1294.0,809.09
kurta,3XL,199.0,967.0,452.76
kurta,4XL,431.0,1099.0,744.1
kurta,5XL,431.0,1099.0,752.31
kurta,6XL,431.0,1099.0,752.26
kurta,L,259.0,967.0,441.63
kurta,M,249.0,888.0,442.41
kurta,S,229.0,967.0,437.75
kurta,XL,259.0,1039.0,441.95
kurta,XS,229.0,939.0,418.89
kurta,XXL,199.0,939.0,445.77
